frequency_hz,ekf_pr_doppler_mean_position_error_3d_m_delta_issue01_vs_legacy,ekf_pr_doppler_mean_position_error_3d_m_delta_issue03_vs_issue01,ekf_pr_doppler_mean_position_error_3d_m_delta_issue03_vs_legacy,ekf_pr_doppler_mean_position_error_3d_m_issue01,ekf_pr_doppler_mean_position_error_3d_m_issue03,ekf_pr_doppler_mean_position_error_3d_m_legacy,ekf_pr_doppler_mean_velocity_error_3d_mps_delta_issue01_vs_legacy,ekf_pr_doppler_mean_velocity_error_3d_mps_delta_issue03_vs_issue01,ekf_pr_doppler_mean_velocity_error_3d_mps_delta_issue03_vs_legacy,ekf_pr_doppler_mean_velocity_error_3d_mps_issue01,ekf_pr_doppler_mean_velocity_error_3d_mps_issue03,ekf_pr_doppler_mean_velocity_error_3d_mps_legacy,single_fd_rmse_hz_delta_issue01_vs_legacy,single_fd_rmse_hz_delta_issue03_vs_issue01,single_fd_rmse_hz_delta_issue03_vs_legacy,single_fd_rmse_hz_issue01,single_fd_rmse_hz_issue03,single_fd_rmse_hz_legacy,single_tau_rmse_ns_delta_issue01_vs_legacy,single_tau_rmse_ns_delta_issue03_vs_issue01,single_tau_rmse_ns_delta_issue03_vs_legacy,single_tau_rmse_ns_issue01,single_tau_rmse_ns_issue03,single_tau_rmse_ns_legacy,wls_case_b_wls_position_error_3d_m_delta_issue01_vs_legacy,wls_case_b_wls_position_error_3d_m_delta_issue03_vs_issue01,wls_case_b_wls_position_error_3d_m_delta_issue03_vs_legacy,wls_case_b_wls_position_error_3d_m_issue01,wls_case_b_wls_position_error_3d_m_issue03,wls_case_b_wls_position_error_3d_m_legacy
19000000000.0,11789.98007099973,14319.162945512244,26109.143016511975,11896.840540890653,26216.003486402897,106.86046989092185,1902.0977119445743,40.88100335267541,1942.9787152972497,1902.2522910881391,1943.1332944408146,0.15457914356483865,3508.2272040608323,-0.5953185626835875,3507.6318854981487,3620.1745957112053,3619.5792771485217,111.94739165037308,11856.815955029637,-4011.766294391329,7845.049660638308,12998.230558482592,8986.464264091263,1141.4146034529545,3998.9825806529116,-1063.6737930745426,2935.3087875783685,4426.806274496877,3363.132481422335,427.8236938439661
19500000000.0,321556.6210320831,-262676.1400215921,58880.48101049105,321813.5032043355,59137.36318274344,256.88217225238714,32288.626472827742,-26629.883735530773,5658.742737296969,32289.112771753946,5659.229036223173,0.48629892620466897,3534.1417814785086,16.253959336855132,3550.3957408153638,3646.4695390875536,3662.7234984244087,112.32775760904502,8101.790400678099,740.1314797580035,8841.921880436103,8738.228923267849,9478.360403025852,636.4385225897491,3127.8709448522627,398.99723943931076,3526.8681842915735,3300.960520390469,3699.9577598297797,173.08957553820636
20000000000.0,65054.31627240546,-40506.550466992274,24547.765805413186,65193.81931593641,24687.268848944135,139.5030435309494,5864.798716292486,-3137.9095972152154,2726.8891190772697,5864.988234972479,2727.078637757264,0.1895186799941522,3723.902182860309,-226.63629493604412,3497.265887924265,3836.5450040447154,3609.9087091086712,112.64282118440643,7295.352470546064,1677.497916511571,8972.850387057635,8192.819658833341,9870.317575344912,897.4671882872775,3234.1828463594657,507.8282432644987,3742.011089623964,3336.4396903381507,3844.2679336026495,102.25684397868531
20500000000.0,15619.438657176512,254068.61042660743,269688.04908378393,15749.867968307735,269818.4783949152,130.42931113122398,2904.302339506972,23615.483652729534,26519.785992236506,2904.5720330471368,26520.05568577667,0.2696935401645826,3478.5545105607034,-132.47027450127598,3346.0842360594274,3589.1872575031766,3456.7169830019006,110.63274694247315,8260.064791366894,925.5504300042048,9185.6152213711,8960.323889219144,9885.874319223349,700.2590978522486,3490.9750898627485,72.23995918123455,3563.215049043983,3626.7752474885388,3699.0152066697733,135.80015762579004
21000000000.0,112338.94063966915,-95359.44514674143,16979.495492927712,112395.59786872467,17036.15272198324,56.6572290555253,12469.084934224105,-9538.964374597155,2930.1205596269506,12469.172557848808,2930.208183251653,0.08762362470239621,3113.457367951678,394.1125276330313,3507.5698955847092,3220.4438915526384,3614.5564191856697,106.98652360096044,7438.028681916697,585.3948661079721,8023.423548024669,8058.998936258176,8644.393802366149,620.9702543414796,2921.713994949398,322.0371563000499,3243.751151249448,2982.707508407282,3304.744664707332,60.99351345788392
21500000000.0,205368.14459341543,-110350.317007415,95017.82758600042,205438.58241974367,95088.26541232868,70.43782632825214,22765.150228629944,-12516.870953173757,10248.279275456185,22765.2733725822,10248.402419408443,0.1231439522575538,2995.9672749561482,149.41630339288258,3145.383578349031,3104.1147991369944,3253.531102529877,108.14752418084602,8278.493862914469,-387.61545520481377,7890.878407709655,8884.135651797666,8496.520196592852,605.6417888831962,3380.7313627088406,-327.74426110624063,3052.9871016026,3548.4121936762594,3220.667932570019,167.68083096741864
22000000000.0,54827.308090778184,-9081.554788535213,45745.75330224297,54952.9646045092,45871.40981597399,125.65651373102021,6547.619796334968,-1842.2177010178075,4705.40209531716,6547.8021724039145,4705.584471386107,0.18237606894654804,3025.3717252657325,63.13925660696805,3088.5109818727005,3137.7330587474426,3200.8723153544106,112.36133348171006,8374.65169878007,-725.9574983609218,7648.694200419148,9123.684800004952,8397.72730164403,749.0331012248824,3396.685480537378,-294.1268975567764,3102.558582980602,3448.0271368719496,3153.900239315173,51.34165633457115
22500000000.0,43562.15259327055,27595.510266607933,71157.66285987847,43577.24347329981,71172.75373990774,15.090880029261898,5017.70795571856,2370.8123352560806,7388.52029097464,5017.750900069832,7388.5632353259125,0.04294435127175012,3094.7037653707594,7.9616823775027115,3102.665447748262,3201.179409720455,3209.141092097958,106.47564434969598,8197.124047973639,-10.320139702727829,8186.80390827091,8823.188210125552,8812.868070422825,626.0641621519142,3177.241741947024,172.20759084265455,3349.4493327896785,3278.5119841831074,3450.719575025762,101.27024223608365
23000000000.0,16300.054178178967,-12748.918640159834,3551.1355380191326,16334.845984553525,3585.927344393691,34.79180637455815,2207.5138131909766,-1534.4965319373541,673.0172812536224,2207.581663548299,673.0851316109446,0.06785035732217719,3053.8951854673114,-83.66196930835304,2970.2332161589584,3164.065632754643,3080.40366344629,110.17044728733158,8291.533502342834,-201.38579894206305,8090.147703400771,8865.696114030117,8664.310315088054,574.1626116872833,2601.9181342250986,668.7340159925052,3270.652150217604,2707.525806620659,3376.259822613164,105.60767239556036
23500000000.0,18151.689272405212,140966.06243110262,159117.75170350782,18170.677687191877,159136.7401182945,18.988414786665228,2298.035580368703,11763.32985978239,14061.365440151094,2298.0752547111806,14061.405114493571,0.039674342477741445,2932.625953353019,17866.28034109987,20798.906294452892,3039.159783560586,20905.440124660458,106.5338302075669,6431.394627034886,25081.445276928735,31512.83990396362,7021.983220904098,32103.428497832832,590.5885938692118,3008.3030079050104,4760.538579077836,7768.841586982847,3066.5480283554716,7827.086607433308,58.245020450461325
24000000000.0,125217.96379311424,-82468.94917092918,42749.01462218506,125272.57723156181,42803.62806063264,54.613438447578766,13395.417024161601,-8812.45607467338,4582.96094948822,13395.50822340555,4583.0521487321685,0.09119924394871694,3069.4526709801835,-168.83513079879822,2900.6175401813853,3171.4419903359976,3002.6068595371994,101.98931935581426,7408.732123833954,-192.5259522355118,7216.206171598442,7993.446685844105,7800.920733608593,584.7145620101513,3246.053374613541,-353.7211667259671,2892.332207887574,3295.2942492709553,2941.573082544988,49.24087465741422
24500000000.0,3989.074825077869,16512.01581247014,20501.090637548008,3993.182216254836,20505.198028724975,4.107391176967104,559.4835008440448,1102.8953161302836,1662.3788169743284,559.4976454083721,1662.3929615386558,0.0141445643273518,3024.7443870048346,30.537755233840016,3055.2821422386746,3125.00851179537,3155.54626702921,100.26412479053529,7647.379511340869,312.1601960807684,7959.539707421637,8181.041868756914,8493.202064837682,533.6623574160452,3596.071679012785,-414.2121069095365,3181.8595721032484,3659.8042859779257,3245.592179068389,63.73260696514058
25000000000.0,170.4873794272353,74037.17061217615,74207.65799160338,226.67594615772344,74263.84655833387,56.188566730488134,0.25939736094227384,7502.108525645091,7502.367923006033,0.3501525485370184,7502.458678193628,0.09075518759474452,-23.602534536800462,3093.3405050717492,3069.7379705349485,79.92904177085678,3173.269546842606,103.53157630765725,-4.801285092631133,8195.381545043258,8190.580259950626,561.6992977942815,8757.080842837539,566.5005828869126,-49.804878583306326,3393.03772891906,3343.2328503357535,12.93836188756093,3405.976090806621,62.743240470867256
25500000000.0,52.42183869019239,109360.07727594927,109412.49911463946,54.2720397167051,109414.34931566597,1.8502010265127147,0.08410675138401001,11418.602061652593,11418.686168403976,0.09356678615309282,11418.695628438745,0.009460034769082809,-26.365273043949855,20174.452146006064,20148.086872962114,77.6731971876373,20252.1253431937,104.03847023158716,18.372453083408118,24897.817669768974,24916.190122852382,558.7652909396915,25456.582960708667,540.3928378562833,-37.91324841488856,5542.87583584831,5504.9625874334215,15.907425138892,5558.783260987202,53.82067355378056
26000000000.0,30.339274910499803,52.20428230914644,82.54355721964625,33.948051488855434,86.15233379800188,3.608776578355631,0.0642121447228583,0.6437411931615173,0.7079533378843756,0.07528963525337183,0.7190308284148892,0.011077490530513536,-28.789595377261406,57.57884208360608,28.78924670634467,76.34539339924078,133.92423548284685,105.13498877650218,24.786133663781243,-13.416413469763029,11.369720194018214,560.1091624809612,546.6927490111982,535.32302881718,-61.694704537437005,9.223265653837604,-52.471438883599404,8.181407457325633,17.404673111163238,69.87611199476264
26500000000.0,19.285637608033497,80442.05322541931,80461.33886302734,21.701346013740405,80463.75457143305,2.4157084057069067,0.029778280334935334,8400.283635030244,8400.31341331058,0.03926775842952665,8400.322902788674,0.009489478094591315,-29.492265267715652,21837.12397669358,21807.631711425864,76.36797086865722,21913.491947562237,105.86023613637288,14.37603287525394,30770.328256580884,30784.70428945614,558.8661737921332,31329.194430373016,544.4901409168792,-58.47112639973496,7306.695664412338,7248.224538012603,6.825880002684591,7313.521544415023,65.29700640241956
27000000000.0,4.466862323459203,51.50102633356462,55.96788865702382,5.862991473068282,57.3640178066329,1.3961291496090793,0.012335004068630109,0.16434913378248073,0.17668413785111084,0.01926598748891523,0.18361512127139595,0.006930983420285122,-24.260504825119327,57.46403840590433,33.203533580785006,76.16932715836326,133.6333655642676,100.42983198348259,30.808443177127742,-12.336934967009142,18.4715082101186,557.5912901769732,545.254355209964,526.7828469998454,-34.63708771996271,0.03012176704591596,-34.60696595291679,8.613565441058082,8.643687208103998,43.250653161020786
27500000000.0,21.52136395318399,247474.65730564686,247496.17866960005,23.180681043401048,247497.83798669025,1.6593170902170582,0.03364937494089734,24063.190097914226,24063.22374728917,0.04239108594462126,24063.232489000173,0.008741711003723918,-21.103752615321525,18718.635554932887,18697.531802317564,75.48117366345126,18794.11672859634,96.58492627877278,23.021700547448745,28706.66182394967,28729.683524497123,555.308023959179,29261.96984790885,532.2863234117302,-36.496887404801235,8461.293112600857,8424.796225196056,6.759255818087387,8468.052368418945,43.256143222888625
28000000000.0,33.27261989533723,283.1408609266426,316.4134808219798,35.7898041881021,318.93066511474467,2.5171842927648767,0.054015556750820364,0.38969500231181914,0.4437105590626395,0.061146143819830336,0.4508411461316495,0.00713058706900997,-19.698174124307783,56.522876021028466,36.82470189672068,75.8010169545319,132.32389297556037,95.49919107883969,21.495609580786777,-15.271458040394691,6.224151540392086,555.8511793639387,540.579721323544,534.355569783152,-38.12434023618478,-2.397681352928588,-40.522021589113365,8.392885614180388,5.9952042612518,46.517225850365165
28500000000.0,13.18784077831178,554946.3309376097,554959.518778388,18.142264905100614,554964.4732025148,4.954424126788833,0.03964932208043924,50952.11047893318,50952.150128255256,0.05140828652096243,50952.1618872197,0.011758964440523191,-24.403958415667773,20207.726458793277,20183.32250037761,75.86386086875672,20283.590319662035,100.26781928442449,14.737748972312602,58407.414998036016,58422.15274700833,553.5114847343702,58960.92648277039,538.7737357620576,-51.448691148991436,16382.887433242979,16331.438742093987,9.343555017372857,16392.23098826035,60.79224616636429
29000000000.0,7.706138955504219,58.38507291242075,66.09121186792497,9.810872712597062,68.19594562501781,2.1047337570928435,0.0231563914547242,0.8941898023544478,0.9173461938091719,0.03147554207653729,0.925665344430985,0.008319150621813091,-21.90704380262808,57.68241739052148,35.7753735878934,75.06448697043454,132.74690436095602,96.97153077306263,19.17173883818714,-7.831102248145839,11.3406365900413,554.6402014866902,546.8090992385444,535.4684626485031,-18.18114633895821,1.257519843560888,-16.923626495397322,7.425058532816148,8.682578376377036,25.60620487177436
29500000000.0,77.08860095471017,279947.3475689213,280024.43616987596,78.28178149633105,280025.6293504176,1.1931805416208758,0.09323458476044538,26906.410205113956,26906.503439698718,0.10010959731877704,26906.510314711275,0.006875012558331656,-20.407847916815754,19554.310122727016,19533.9022748102,75.3515140908982,19629.661636817913,95.75936200771396,15.755995782725677,32278.604626351662,32294.36062213439,553.3574232431766,32831.96204959484,537.601427460451,-65.8937392315581,9025.959466998507,8960.06572776695,6.788865710200326,9032.748332708708,72.68260494175843
30000000000.0,21.964785770267472,122.95409852322256,144.91888429349004,22.81985622847672,145.77395475169928,0.8550704582092477,0.0312686159029214,0.5971592171628177,0.6284278330657391,0.03667702374159023,0.6338362409044079,0.005408407838668831,-27.549251768725654,58.055696875568614,30.50644510684296,75.5328412064349,133.5885380820035,103.08209297516055,20.296064692361824,-10.263494965853397,10.032569726508427,553.7658138496638,543.5023188838104,533.469749157302,-69.97310999313576,1.9892662028891017,-67.98384379024667,8.12830670417206,10.117572907061161,78.10141669730783
30500000000.0,38.19742952229613,-4.670415593294045,33.52701392900209,40.01009535480368,35.339679761509636,1.812665832507548,0.0494154628125427,0.12266034815685392,0.17207581096939661,0.05578094662602711,0.17844129478288104,0.00636548381348441,-21.18437597326924,58.28630231432551,37.10192634105627,75.09431635053816,133.38061866486368,96.2786923238074,11.208491006663394,-12.916805115508964,-1.7083141088455704,553.93317044021,541.016365324701,542.7246794335466,-33.27539827775439,3.8035522264092467,-29.471846051345146,8.472426698974884,12.27597892538413,41.74782497672928
31000000000.0,76.82678798396947,170814.07587926346,170890.90266724743,78.13568524257458,170892.21156450603,1.3088972586051149,0.09570460748627742,13989.894462440741,13989.990167048229,0.10092526510897903,13989.99538770585,0.0052206576227016195,-21.018959608212512,21183.227262220757,21162.208302612544,75.56578453005491,21258.793046750812,96.58474413826742,35.8850908790464,32625.127899176943,32661.01299005599,555.0323795468132,33180.16027872376,519.1472886677668,-24.959106929073293,8132.092332984208,8107.133226055134,8.547186717554121,8140.639519701762,33.50629364662741
